Age,Accessibility,EdLevel,Employment,MentalHealth,MainBranch,YearsCode,PreviousSalary,ComputerSkills,Employed,Man,NonBinary,Woman,Asia,Australia,Europe,NorthAmerica,Others,South America
0,0,3,1,0,1,7,51552.0,4,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,12,46482.0,12,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,15,77290.0,7,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,9,46135.0,13,0,1,0,0,0,0,0,1,0,0
0,0,3,1,0,1,9,38915.0,5,0,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,26,77831.0,17,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,0,14,81319.0,4,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,39,68507.0,3,0,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,20,37752.0,6,0,1,0,0,0,0,0,0,1,0
0,0,2,1,1,1,4,122580.0,18,1,1,0,0,0,0,0,0,1,0
0,0,2,1,1,1,6,11832.0,13,1,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,19,60535.0,5,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,8,103000.0,7,0,1,0,0,0,0,0,1,0,0
0,0,3,1,0,0,6,25944.0,5,0,1,0,0,0,0,1,0,0,0
1,0,2,1,1,1,22,60480.0,16,1,1,0,0,0,0,0,0,0,1
0,0,1,1,1,1,7,20556.0,5,0,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,12,25944.0,25,1,1,0,0,0,0,1,0,0,0
1,0,3,1,1,1,34,64630.0,14,1,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,21,54049.0,17,1,1,0,0,0,0,1,0,0,0
0,0,1,1,0,0,5,22644.0,12,0,1,0,0,0,0,0,0,1,0
1,1,1,1,1,1,25,71850.0,6,0,1,0,0,0,0,0,1,0,0
1,0,3,1,0,1,20,58373.0,7,1,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,24,129266.0,12,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,0,10,25944.0,7,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,25,105000.0,6,0,1,0,0,0,0,0,1,0,0
1,0,4,1,0,1,10,151263.0,8,0,1,0,0,0,0,0,1,0,0
1,0,2,1,0,0,10,40500.0,8,0,1,0,0,0,0,1,0,0,0
0,0,2,0,0,1,12,43908.0,24,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,25,42336.0,21,1,1,0,0,0,0,1,0,0,0
1,0,1,1,0,1,31,95295.0,10,1,1,0,0,0,0,0,1,0,0
0,0,4,1,0,1,18,100000.0,8,0,1,0,0,0,0,0,1,0,0
1,0,2,1,0,1,26,61398.0,10,1,1,0,0,0,0,1,0,0,0
0,0,0,1,1,0,20,108098.0,17,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,27336.0,21,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,10,5216.0,4,0,1,0,0,0,0,1,0,0,0
0,0,3,0,0,1,8,151337.0,11,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,1,18,24648.0,18,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,4,7788.0,5,0,1,0,0,1,0,0,0,0,0
1,1,3,1,0,1,38,134176.0,14,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,64630.0,8,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,38915.0,13,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,8,4944.0,11,0,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,13,14268.0,17,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,43239.0,17,1,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,3,48.0,8,0,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,12,140000.0,14,1,1,0,0,0,0,0,1,0,0
0,0,1,1,0,1,6,14124.0,26,1,1,0,0,1,0,0,0,0,0
1,0,1,1,1,0,6,101916.0,7,0,1,0,0,0,0,0,0,1,0
0,0,3,0,0,1,17,21000.0,7,0,1,0,0,1,0,0,0,0,0
0,0,2,1,0,1,7,54000.0,10,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,17,36324.0,23,1,1,0,0,0,0,1,0,0,0
